,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
1596,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1730,129,,B1,136 ELLERY STREET,,11206,2,0,2,"1,983","1,944",1992,1,B1,1415000,4/14/2022,40.698302,-73.9478592
1597,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1730,130,,B1,138 ELLERY STREET,,11206,2,0,2,"1,983","1,944",1992,1,B1,1610000,5/5/2022,40.6983102,-73.9477871
1599,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1731,112,,B1,178 ELLERY STREET,,11206,2,0,2,"1,982","1,944",1995,1,B1,0,6/7/2022,40.6985316,-73.9458611
1600,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1732,105,,B9,192 ELLERY STREET,,11206,2,0,2,"1,982","1,944",1993,1,B9,0,8/15/2022,40.6986218,-73.9450893
1601,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1737,51,,B9,113 SANDFORD STREET,,11205,2,0,2,"2,000","1,280",1910,1,B9,0,6/30/2022,40.695587,-73.9532851
1602,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1747,35,,S2,905 MYRTLE AVENUE,,11206,2,1,3,"1,711","3,972",1931,1,S2,0,1/24/2023,40.6958832,-73.9465737
1603,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1747,41,,B2,891 MYRTLE AVENUE,,11206,2,0,2,"2,000","1,200",1920,1,B2,1740000,11/7/2022,40.6958615,-73.9470822
1604,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1B,1747,131,,V0,92 TOMPKINS AVENUE,,11206,0,0,0,"1,574",0,1931,1,S2,1500000,7/12/2022,,
1606,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1753,40,,B9,180 NOSTRAND AVENUE,,11205,2,0,2,"2,000","2,500",1901,1,B9,0,4/4/2022,40.6940963,-73.9526154
1607,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1756,59,,B3,181A VERNON AVENUE,,11206,2,0,2,"1,875","2,532",1899,1,B3,0,2/24/2022,40.6953636,-73.9447314
1608,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1756,59,,B3,181A VERNON AVENUE,,11206,2,0,2,"1,875","2,532",1899,1,B3,0,4/25/2022,40.6953636,-73.9447314
1609,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1756,61,,B1,179 VERNON AVENUE,,11206,2,0,2,"1,874","2,532",1899,1,B1,1750000,9/8/2022,40.6953472,-73.9448648
1610,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1757,56,,B9,241 VERNON AVENUE,,11206,2,0,2,"1,782","2,675",2005,1,B9,1500000,6/27/2022,40.6956779,-73.941994
1611,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1757,61,,B3,235 VERNON AVENUE,,11206,2,0,2,"1,783","2,139",1901,1,B3,1410000,3/10/2022,40.6956396,-73.9423114
1613,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1758,53,,B2,600 MARCY AVENUE,,11206,2,0,2,"1,780","2,670",1899,1,B2,0,4/15/2022,40.6940729,-73.9492185
1614,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1762,60,,B3,220 SPENCER STREET,,11205,2,0,2,"1,700","2,380",1901,1,B3,1999000,2/14/2022,40.6918026,-73.9548924
1615,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1766,13,,B3,454 WILLOUGHBY AVENUE,,11206,2,0,2,"2,032","2,845",1899,1,B3,0,7/7/2022,40.6933931,-73.9513502
1616,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1766,14,,B3,456 WILLOUGHBY AVENUE,,11206,2,0,2,"1,900","2,665",1899,1,B3,0,9/19/2022,40.6934013,-73.951278
1617,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1767,27,,B2,554 WILLOUGHBY AVENUE,,11206,2,0,2,"2,000","2,700",1910,1,B2,0,3/10/2022,40.6938716,-73.9471595
1618,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1767,49,,B9,123 HART STREET,,11206,2,0,2,"1,567","1,881",1899,1,B9,0,4/25/2022,40.69366,-73.9465466
1619,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1768,19,,B1,606 WILLOUGHBY AVENUE,,11206,2,0,2,"1,799","2,268",1910,1,B1,1645000,8/9/2022,40.6941149,-73.9450642
1620,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1770,8,,B1,2 HART STREET,,11206,2,0,2,"1,499","3,300",1910,1,B1,2205000,7/20/2022,40.6926166,-73.9518556
1621,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1770,70,,B2,49A PULASKI STREET,,11206,2,0,2,"1,742","2,440",1925,1,B2,0,9/21/2022,40.692547,-73.9497173
1622,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1772,19,,B9,164 HART STREET,,11206,2,0,2,"1,799","3,072",1910,1,B9,0,7/25/2022,40.6933738,-73.9449818
1623,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1772,57,,B1,191 PULASKI STREET,,11206,2,0,2,"2,000","2,820",1910,1,B1,2625000,6/3/2022,40.6932304,-73.9437487
1624,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1774,61,,B2,665 DEKALB AVENUE,,11216,2,0,2,"2,499","1,508",1920,1,B2,0,6/22/2022,40.6919294,-73.9496131
1625,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1775,26,,B1,110 PULASKI STREET,,11206,2,0,2,"1,875","2,532",1899,1,B1,1700000,5/24/2022,40.6923921,-73.9470164
1626,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1775,41,,S2,190 TOMPKINS AVENUE,,11206,2,1,3,"1,500","2,600",1931,1,S2,1632500,2/17/2022,40.6924493,-73.9459851
1627,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1776,172,,B1,199 TOMPKINS AVENUE,,11206,2,0,2,"3,507","1,678",1991,1,B1,1500000,5/19/2022,40.692427,-73.9454262
